facility_id,facility_name,state,primary_fuel,match_status,match_score,accreditation_code,station_name,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,committed_date,suspension_status,baseline_mwh,cer_source_type,use_for_geocoding,lat,lon,geocode_source
11,Dartmouth Hydro,VIC,Hydro,fuzzy,100.0,HY00VC05,Dartmouth,3701.0,150.0,Hydro,2001-06-20,,,Unsuspended,231228.0,historical_accredited,True,-36.4525628,147.2696544,nominatim_postcode
12,Eildon Hydro,VIC,Hydro,fuzzy,100.0,HY00VC06,Eildon Power Station,3713.0,135.0,Hydro,2001-06-20,,,Unsuspended,197259.0,historical_accredited,True,-37.2278488,145.9117395,nominatim_postcode
13,Glenbawn Hydro,NSW,Hydro,fuzzy,100.0,HYMINS05,Glenbawn,2337.0,5.5,Hydro,2001-08-22,,,Unsuspended,11968.0,historical_accredited,True,-31.9630488,150.9953661,nominatim_postcode
14,Glenorchy Landfill Generation,TAS,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
15,Hallett (Stage 1) Wind Farm,SA,Wind,fuzzy,100.0,WD00SA08,Hallett Wind Farm,5419.0,92.4,Wind,2007-05-14,,,Unsuspended,0.0,historical_accredited,True,-33.3469443,138.9615411,nominatim_postcode
16,Hallett (Stage 2) Wind Farm,SA,Wind,fuzzy,100.0,WD00SA10,Hallett 2 Wind Farm,5418.0,71.4,Wind,2009-04-27,,,Unsuspended,0.0,historical_accredited,True,-33.4764943,139.0609674,nominatim_postcode
17,Hallett (Stage 4) Wind Farm,SA,Wind,nger_only,,,,,,,,,,,,,,,,
18,Hallett (Stage 5) Wind Farm,SA,Wind,nger_only,,,,,,,,,,,,,,,,
19,Hobart Landfill Generation,TAS,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
20,Hunter Valley Gas Turbines,NSW,Gas,nger_only,,,,,,,,,,,,,,,,
21,Kincumber Landfill Generation,NSW,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
22,Liddell Power Station,NSW,Black Coal,nger_only,,,,,,,,,,,,,,,,
23,Loy Yang Power Station and Mine,VIC,Brown Coal,nger_only,,,,,,,,,,,,,,,,
24,Macarthur Wind Farm,VIC,Wind,exact,100.0,WD00VC14,Macarthur Wind Farm,3286.0,420.0,Wind,2012-09-30,,,Unsuspended,0.0,historical_accredited,True,-37.999404,141.9540526,nominatim_postcode
25,McKay Creek Hydro,VIC,Hydro,fuzzy,100.0,HY00VC03,McKay Creek,3000.0,160.0,Hydro,2001-04-01,,,Unsuspended,100172.0,historical_accredited,True,-37.815614,144.9673031,nominatim_postcode
26,Moranbah Power Station,QLD,Coal Seam Methane,nger_only,,,,,,,,,,,,,,,,
27,Nyngan Solar Plant,NSW,Solar,exact,100.0,SRPVNS31,Nyngan Solar Plant,2825.0,102.0,Solar,2015-03-21,,,Unsuspended,0.0,historical_accredited,True,-31.5564839,147.0860758,nominatim_facility
28,Oaklands Hill Wind Farm,VIC,Wind,exact,100.0,WD00VC13,Oaklands Hill Wind Farm,3293.0,67.2,Wind,2011-08-19,,,Unsuspended,0.0,historical_accredited,True,-37.7643672,142.5718132,nominatim_postcode
29,Rockingham Landfill Generation,WA,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
30,Rubicon Hydro Scheme,VIC,Hydro,nger_only,,,,,,,,,,,,,,,,
31,Shoalhaven Landfill Generation,NSW,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
32,Somerton Power Station,VIC,Gas,nger_only,,,,,,,,,,,,,,,,
33,Suncoast Biomass Generation Plant,QLD,Macadamia Nut Shells,nger_only,,,,,,,,,,,,,,,,
34,Torrens Island Power Station,SA,Gas/Diesel,nger_only,,,,,,,,,,,,,,,,
35,Wattle Point Wind Farm,SA,Wind,exact,100.0,WD00SA04,Wattle Point Wind farm,5583.0,90.75,Wind,2005-03-13,,,Unsuspended,0.0,historical_accredited,True,-35.0806381,137.7444503,nominatim_postcode
36,Werribee Biogas Generator,VIC,Biogas,nger_only,,,,,,,,,,,,,,,,
37,West Kiewa Hydro,VIC,Hydro,fuzzy,100.0,HY00VC01,West Kiewa,3000.0,62.0,Hydro,2001-04-01,,,Unsuspended,172034.0,historical_accredited,True,-37.815614,144.9673031,nominatim_postcode
38,Wilpena Pound Solar Generation,SA,Solar,fuzzy,100.0,SRPVSA03,Wilpena Pound,5434.0,0.1,Solar,2003-01-16,,,Unsuspended,0.0,historical_accredited,True,-31.7691413,138.5754639,nominatim_postcode
39,Woy Woy Landfill Generation,NSW,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
40,Yarrawonga Hydro,VIC,Hydro,fuzzy,100.0,HYMIVC05,Yarrawonga Power Station,3730.0,9.45,Hydro,2001-10-04,,,Unsuspended,48990.0,historical_accredited,True,-36.0260043,146.0270743,nominatim_postcode
41,Alinta Pinjarra Generation Facility,WA,Gas,nger_only,,,,,,,,,,,,,,,,
42,Alinta Wagerup Generation Facility,WA,Gas/Diesel,nger_only,,,,,,,,,,,,,,,,
43,Anglesea Power Station,VIC,Brown Coal,nger_only,,,,,,,,,,,,,,,,
44,Augusta Power Stations,SA,Brown Coal,nger_only,,,,,,,,,,,,,,,,
45,Bairnsdale Power Station,VIC,Gas,nger_only,,,,,,,,,,,,,,,,
46,Braemar Power Station,QLD,Coal Seam Methane,nger_only,,,,,,,,,,,,,,,,
47,Newman Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
48,Port Hedland Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
49,Emu Downs Wind Farm,WA,Wind,exact,100.0,WD00WA09,Emu Downs Wind Farm,6521.0,104.75,Wind,2006-07-21,,,Unsuspended,0.0,historical_accredited,True,-30.4072436,115.4022626,nominatim_postcode
50,Braemar 2 Power Station,QLD,Coal Seam Methane,nger_only,,,,,,,,,,,,,,,,
51,Bulwer Island Energy Partnership facility,QLD,Gas,nger_only,,,,,,,,,,,,,,,,
52,Karratha Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
53,Osborne facility,SA,Gas,nger_only,,,,,,,,,,,,,,,,
54,LGP Belmont Administration & Kalamunda Facility,WA,Liquid Fuel,nger_only,,,,,,,,,,,,,,,,
55,LGP Canning Vale Facility,WA,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
